Package Name,Species name,Action Type,Lead RO,Priority Bin Ranking,Timeframe,Current Candidate,Range
New Mexico Plants ,Tharp's bluestar ,12M ,R2 ,3,FY22 ,,"NM, TX"
,western chicken turtle ,12M ,R2 ,3,FY22 ,,"AR, LA, MO, MS, OK, TX"
,plains spotted skunk ,12M ,R3 ,3,FY22,,"AR, CO, MN, MO, NE, OK, SD, TX, WY"
,beautiful crayfish ,12M ,R4 ,3,FY22 ,,GA
,Brawley's Fork crayfish ,12M ,R4 ,3,FY22 ,,TN
Caddo Madtom and Paleback Darter ,Caddo madtom ,12M ,R4 ,3,FY22 ,,AR
,Florida pine snake ,12M ,R4 ,3,FY22 ,,"AL, FL, GA, SC"
Caddo Madtom and Paleback Darter ,paleback darter ,12M ,R4 ,3,FY22 ,,AR
,piebald madtom ,12M ,R4 ,3,FY22 ,,"MS, TN"
,popeye shiner ,12M ,R4 ,3,FY22 ,,KY
,saltmarsh topminnow ,12M ,R4 ,3,FY22 ,,"AL, FL, LA, MS, TX"
,short-tailed snake ,12M ,R4 ,3,FY22 ,,FL
,Tennessee heelsplitter ,12M ,R4 ,3,FY22 ,,"AL, GA, NC, VA, TN"
,Tombigbee Riverlet crayfish ,12M ,R4 ,3,FY22 ,,MS
,Waccamaw fatmucket ,12M ,R4 ,3,FY22 ,,"NC, SC"
,Yazoo crayfish ,12M ,R4 ,3,FY22 ,,MS
,bluestone sculpin ,12M ,R5 ,2,FY22 ,,"VA, WV"
,Clinch River dace ,Discretionary Status Review,R5 ,3,FY22 ,,VA
,orangefin madtom ,12M ,R5 ,3,FY22 ,,"NC, VA"
,Rye Cove Cave isopod ,12M ,R5 ,3,FY22 ,,VA
,spider elimia (snail) ,12M ,R5 ,3,FY22 ,,"TN, VA"
,spiny scale crayfish ,12M ,R5 ,3,FY22 ,,"KY, TN, VA"
2 Colorado Plants ,Brandagee's wild buckwheat ,12M ,R6 ,4,FY22 ,,CO
2 Utah Astragalus ,Cisco milkvetch ,12M ,R6 ,4,FY22 ,,UT
2 Utah Astragalus ,Isley milkvetch ,12M ,R6 ,4,FY22 ,,UT
,regal fritillary ,12M ,R6 ,4,FY22,,"AR, CO, CT, DE, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SD, VA, VT, WI, WV, WY"
2 Colorado Plants ,Weber whitlowgrass ,12M ,R6 ,4,FY22 ,,CO
,Shasta salamander ,12M ,R8 ,5,FY22 ,,CA
,Cascade torrent salamander ,12M ,R1 ,5,FY23 ,,"OR, WA"
,Chelan mountain snail ,12M ,R1 ,5,FY23 ,,WA
,Hoko vertigo ,12M ,R1 ,5,FY23 ,,WA
Arizona Lepidopterans ,Astylis  sp. 1 (unnamed moth) ,12M ,R2 ,5,FY23 ,,AZ
,Big Thicket Texas emerald ,12M ,R2 ,3,FY23 ,,"LA, TX"
Oklahoma Crayfish ,Delaware County cave crayfish ,12M ,R2 ,2,FY23 ,,OK
Arizona Lepidopterans ,Ferris's copper ,12M ,R2 ,5,FY23 ,,AZ
Arizona Lepidopterans ,Heterocampa  sp. 1 nr. Amanda ,12M ,R2 ,5,FY23 ,,AZ
Oklahoma Crayfish ,Kiamachi crayfish ,12M ,R2 ,2,FY23 ,,OK
Arizona Lepidopterans ,Litodonta  sp. 1 nr. Alpina ,12M ,R2 ,5,FY23 ,,AZ
Oklahoma Crayfish ,Oklahoma cave crayfish ,12M ,R2 ,2,FY23 ,,OK
,Rio Grande cooter ,12M ,R2 ,4,FY23 ,,"NM, TX"
,Sangre de Cristo peaclam ,12M ,R2 ,3,FY23 ,,NM
,White Sands pupfish ,12M ,R2 ,4,FY23 ,,NM
,Blanding's turtle ,12M ,R3 ,3,FY23 ,,"IA, IL, IN, MA, ME, MI, MN, MO, NE, NH, NY, OH, PA, SD, WI"
,bluestripe darter ,12M ,R3 ,5,FY23 ,,MO
,golden-winged warbler ,12M ,R3 ,3,FY23 ,,"AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV"
,little brown bat ,Discretionary Status Review,R3 ,4,FY23 ,,"AK, AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY"
,salamander mussel ,12M ,R3 ,3,FY23 ,,"AR, IL, IN, KY, MI, MN, MO, NY, OH, PA, TN, WI, WV, Canada"
,Alabama hickorynut ,12M ,R4 ,3,FY23 ,,"AL, LA, MS, OK"
,Apalachicola wild indigo ,12M ,R4 ,3,FY23 ,,"AL, FL, GA"
,bog spicebush ,12M ,R4 ,3,FY23,,"AL, FL, GA, LA, MS, NC, SC, VA"
,Chauga crayfish ,12M ,R4 ,3,FY23 ,,"GA, NC, SC"
,colorless shiner ,12M ,R4 ,3,FY23 ,,"AR, OK"
,Georgia blind salamander ,12M ,R4 ,3,FY23 ,,"FL, GA"
,gopher tortoise ,Proposed Listing Determination,R4 ,LPN 8 ,FY23 ,Y ,"AL, FL, GA, SC"
,Little Tennessee crayfish ,12M ,R4 ,3,FY23 ,,"GA, NC"
,Ozark shiner ,12M ,R4 ,3,FY23 ,,"AR, MO"
,smallscale darter ,12M ,R4 ,3,FY23 ,,"KY, TN"
,streamside salamander ,12M ,R4 ,3,FY23 ,,"AL, KY, OH, TN, WV"
,Tennessee Cave salamander ,12M ,R4 ,3,FY23 ,,"AL, GA, TN"
,water stitchwort ,12M ,R4 ,3,FY23 ,,"KY, TN"
,Chesapeake logperch ,12M ,R5 ,4,FY23 ,,"MD, PA, VA"
,frosted elfin butterfly ,Discretionary Status Review ,R5 ,4,FY23,,"AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV, Canada"
,northern red-bellied cooter (range- wide) ,12M ,R5 ,2,FY23,,"DC, DE, MA, MD, NC, NJ, PA, VA, WV"
,Northern Virginia well amphipod ,Discretionary Status Review,R5 ,4,FY23 ,,VA
,Peaks of Otter salamander ,12M ,R5 ,4,FY23 ,,VA
,spotted turtle ,12M ,R5 ,4,FY23 ,,"CT, DC, DE, FL, GA, IL, IN, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, VA, VT, WV, Canada"
,wood turtle ,12M ,R5 ,4,FY23,,"CT, DC, IA, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV, Canada"
,narrow-foot hygrotus diving beetle ,12M ,R6 ,5,FY23 ,,WY
,western bumble bee ,12M ,R6 ,5,FY23 ,,"AZ, CA, CO, ID, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY "
,Big Bar hesperian ,12M ,R8 ,5,FY23 ,,CA
,limestone salamander ,12M ,R8 ,5,FY23 ,,CA
,relictual slender salamander ,12M ,R8 ,5,FY23 ,,CA
,Shasta chaparral ,12M ,R8 ,5,FY23 ,,CA
,Shasta hesperian ,12M ,R8 ,5,FY23 ,,CA
