Package Name,Species name,Action Type,Lead RO,Priority Bin Ranking,Timeframe,Current Candidate,Range
"Ashy Darter, Barrens Darter, and Redlips Darter",barrens darter ,12M ,R4 ,N/A ,FY18 ,,TN
,barrens topminnow ,12M ,R4 ,N/A ,FY18 ,,TN
3 Florida Orchids ,Big Cypress epidendrum ,12M ,R4 ,1,FY18 ,,FL
,black rail ,12M ,R4 ,N/A ,FY18,,"AL, AR, FL, GA, LA, MS, NC, SC, TX, VA"
,black-capped petrel ,12M ,R4 ,N/A ,FY18,,"FL, GA, SC, NC, PR, VA, VI"
3 Florida Orchids ,Cape Sable orchid ,12M ,R4 ,1,FY18 ,,FL
3 Florida Orchids ,clam-shell orchid ,12M ,R4 ,1,FY18 ,,FL
,Florida sandhill crane ,12M ,R4 ,2,FY18 ,,"FL, GA"
3 Southeast Mussels ,longsolid ,12M ,R4 ,2,FY18 ,,"AL, AR, GA, IL, IN, KY, NC, OH, PA, TN, VA, WV"
,MacGillivray's seaside sparrow ,12M ,R4 ,N/A ,FY18 ,,"FL, GA, NC, SC"
,Marron bacora ,Proposed Listing Determination,R4 ,LPN 2 ,FY18 ,Y ,VI
,Ozark pyrg,12M,R4 ,1,FY18,,"MO, AR"
3 Southeast Mussels ,pink pigtoe,12M,R4 ,2,FY18,,"AL, AR, KY, LA, MS, NE, OH, OK, TN, VA"
"Ashy Darter, Barrens Darter, and Redlips Darter",redlips darter,12M,R4 ,3,FY18,,"KY, TN"
3 Southeast Mussels ,round hickorynut,12M,R4 ,2,FY18,,"AL, AR, GA, IL, IN, KY, MI, MS, OH, PA, TN, WV, Canada"
,slenderclaw crayfish,12M,R4 ,N/A ,FY18,,AL
,striped newt,Proposed Listing Determination,R4 ,LPN 8 ,FY18,Y ,"FL, GA"
,brook floater,12M,R5 ,2,FY18,,"CT, DC, GA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA, VT, WV"
,Elk River crayfish,12M,R5 ,2,FY18,,WV
,seaside darter,12M,R5 ,2,FY18,,"DE, GA, MD, OK"
,Tippecanoe darter,12M,R5 ,2,FY18,,"IN, KY, OH, PA, TN, WV"
,yellow banded bumblebee,12M,R5 ,2,FY18,,"CT, IL, KY, MA, MD, ME, MI, MN, MT, NC, ND, NH, NJ, NY, OH, PA, RI, SD, TN, VA, VT, WV, WI, Canada"
,Chapin Mesa milkvetch,Proposed Listing Determination,R6 ,LPN 8 ,FY18,Y ,CO
,Fremont County rockcress,Proposed Listing Determination,R6 ,LPN 8 ,FY18,Y ,WY
"Frisco Buckwheat, Frisco Clover, and Ostler's Peppergrass",Frisco buckwheat,Proposed Listing Determination,R6 ,LPN 8 ,FY18,Y ,UT
"Frisco Buckwheat, Frisco Clover, and Ostler's Peppergrass",Frisco Clover,Proposed Listing Determination,R6 ,LPN 8 ,FY18,Y ,UT
,Ostler's peppergrass ,Proposed Listing Determination,R6 ,LPN 8 ,FY18 ,Y ,UT
,wolverine ,Final Listing Determination ,R6 ,N/A ,FY18,,"CA, CO, ID, MT, NV, NM, OR, UT, WA, WY"
,Joshua tree ,12M ,R8 ,2,FY18 ,,"AZ, CA, NV, UT"
,Panamint alligator lizard ,12M ,R8 ,2,FY18 ,,CA
,Sierra Nevada red fox ,Proposed Listing Determination,R8 ,LPN 3 ,FY18 ,Y ,"CA, OR"
,tricolor blackbird ,12M ,R8 ,2,FY18 ,,"CA, OR, WA, NV"
,red tree vole ,Proposed Listing Determination,R1 ,LPN 9 ,FY19 ,Y ,OR
,sand verbena moth ,12M ,R1 ,4,FY19 ,,WA
,tufted puffin ,12M ,R1 ,3,FY19 ,,"CA, OR, WA"
,bracted twistflower ,Proposed Listing Determination,R2 ,LPN 8 ,FY19 ,Y ,TX
South Texas Plants ,bushy whitlow-wort ,12M ,R2 ,3,FY19 ,,TX
East Texas Mussels ,Louisiana pigtoe ,12M ,R2 ,3,FY19 ,,"LA, TX"
South Texas Plants ,Navasota false foxglove ,12M ,R2 ,3,FY19 ,,TX
,Penasco least chipmunk ,Proposed Listing Determination,R2 ,LPN 6 ,FY19 ,Y ,NM
South Texas Plants ,prostrate milkweed ,12M ,R2 ,3,FY19 ,,"TX, Mexico"
South Texas Plants ,rough stemmed aster ,12M ,R2 ,3,FY19 ,,"LA, MS, TX"
South Texas Plants ,Shinner's sunflower ,12M ,R2 ,3,FY19 ,,"AR, LA, TX"
East Texas Mussels ,Texas heelsplitter ,12M ,R2 ,3,FY19 ,,TX
South Texas Plants ,Texas screwstem ,12M ,R2 ,3,FY19 ,,TX
East Texas Mussels ,triangle pigtoe ,12M ,R2 ,3,FY19 ,,TX
Ozark Endemic Crayfishes ,Big Creek crayfish ,Discretionary Status Review,R3 ,3,FY19 ,,MO
Ozark Endemic Crayfishes ,coldwater crayfish ,12M ,R3 ,3,FY19 ,,"AR, MO"
,Hall's bulrush ,12M ,R3 ,3,FY19 ,,"GA, IA, IL, IN, KS, KY, SC, TX, WI"
,monarch butterfly ,12M ,R3 ,N/A ,FY19 ,,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
,rattlesnake-master borer moth ,Proposed Listing Determination ,R3 ,LPN 8 ,FY19 ,Y,"AR, IA, IL, KY, MO, NC, OK"
Ozark Endemic Crayfishes ,St. Francis River crayfish ,Discretionary Status Review,R3 ,3,FY19 ,,MO
,Ocmulgee skullcap ,12M ,R4 ,2,FY19 ,,"GA, SC"
